description,category
Ticket Change,Travel
Meal Deal Airport,Eating Out
Train to Liverpool from Stansted,Travel
Oyster Card,Travel
Meds,Health/Medical
Morocco Cash Spending,Travel
Waitrose Handsoap,Grooming
Ticket Change,Transportation
Somboon,Eating Out
Waterfall,Travel
Cambridge - Stevenage,Transportation
Exeter - Stevenage,Transportation
McDonalds,Eating Out
Wasabi Onigiri,Eating Out
Bus,Transportation
Chinese Takeaway,Eating Out
McDonalds,Eating Out
Bus,Transportation
Train,Transportation
Train,Transportation
Tube Topup,Transportation
Tesco,Groceries
Coffee Ole & Steen,Eating Out
Train,Transportation
Train,Transportation
Train,Transportation
Train,Transportation
Train,Transportation
Bus,Transportation
Wasabi Onigiri,Eating Out
Kin Khao Food,Eating Out
Cash Withdrawal for storage,Health/Medical
Sainsbury,Groceries
Tesco,Groceries
Tesco,Groceries
Sainsbury,Groceries
Asian Mart,Groceries
Asian Mart,Groceries
Forum Chicken,Eating Out
Chai Latte,Eating Out
Savers ,Grooming
Pint,Social
Pint,Social
tp ticket,Social
Mega Meetup,Social
Pret,Eating Out
Asian Mart,Groceries
Tesco,Groceries
Taxi ,Transportation
uksss website domain,Social
Wasabi,Eating Out
Tesco,Groceries
Bus,Transportation
Eat Tokyo,Eating Out
Wootea,Eating Out
Bus ticket,Transportation
Train,Transportation
Train,Transportation
Bus,Transportation
Wasabi,Eating Out
Tesco,Groceries
Tesco,Groceries
Pint,Social
Pint,Social
M&S,Groceries
Tesco,Groceries
Pint,Social
Pint,Social
Tesco,Groceries
M&S,Groceries
Pint,Social
Pint,Social
Pint,Social
Pizza,Eating Out
Tesco,Groceries
M&S,Groceries
Wilko,Health/Medical
Tesco,Groceries
Soil,Social
vet,Dogs
snoopy sore eyes, Dogs
Heytea,Eating Out
Lidl,Groceries
Tesco,Groceries
MNS,Groceries
Pilates,Health/Medical
Yoga,Health/Medical
Climbing,Health/Medical
Gym,Health/Medical
Arcade,Social
Drinks,Social
Pub,Social
Bar,Social
Church Donation,Gifts
Oyster Topup,Transportation
Yonder,Bills
Subscription, Bills
Netflix, Bills
charlie, Dogs
vet bills,Dogs
snoopy vet bills,Dogs
dog shampoo,Dogs
poop bags,Dogs
snoopy vet,Dogs
dog,Dogs
Dogs,Dogs
vet,Dogs
vet bills,Dogs
vet bills,Dogs
toilet paper,Groceries
