description,category
Lidl,Groceries
Tube,Transportation
Tube,Transportation
Voxi,Subscriptions
Lidl,Groceries
Bus,Transportation
Tube,Transportation
Bus,Transportation
Train to Stevenage,Transportation
UBS Coffee,Food
Burger Dinner at Butchies,Food
Skincare + fee,Health
Tube,Transportation
Lidl,Groceries
Tube,Transportation
Haircut,Health
Tube,Transportation
Lidl,Groceries
Pizza,Food
Boots,Health
Rasa Sayang,Food
Tube,Transportation
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Train,Transportation
Train,Transportation
Train,Transportation
Train,Transportation
Lidl,Groceries
Flight to Morocco,Travel
Pret,Food
Asian Mart Rice,Groceries
Pho,Food
Tube,Transportation
Chai Latte,Food
UBS Breakfast,Food
Tube,Transportation
Tube,Transportation
Lidl,Groceries
Train,Transportation
Lidl,Groceries
Morocco Desert Tour,Travel
Plants at Tesco,Social
Ikea food,Food
Ikea plants,Social
Ikea Dinner,Food
Tube,Transportation
Tesco,Groceries
Lidl,Groceries
Tube,Transportation
Chai Latte,Food
Xingfutang,Food
Tube,Transportation
Lauv Concert,Social
Lidl,Groceries
Five guys Milkshake,Food
Apple Icloud,Subscriptions
Tube,Transportation
Barbie,Social
Voxi,Subscriptions
Chai Latte,Food
Lidl,Groceries
Papa Johns Pizza,Food
Train,Transportation
Tube,Transportation
Eataly Dinner,Food
Ice Cream,Food
Wasabi,Food
Chai Latte,Food
Lidl,Groceries
Tube,Transportation
Tesco,Groceries
Somboon,Food
Train,Transportation
Train to Exmouth,Transportation
KinKhao ,Food
Tube,Transportation
Bread,Food
Bread,Food
Tube,Transportation
Wasabi,Food
Lidl,Groceries
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Pho,Food
Tube,Transportation
Food from gas station,Food
Food from gas station,Food
Food from gas station,Food
Food from gas station,Food
Drinks with Nicole at Woolwich,Food
Tube,Transportation
Lidl,Groceries
Lidl,Groceries
Chai Latte,Food
Rice Asian Mart,Groceries
Bali Bali Dinner w Nicole,Food
Tube,Transportation
Chai Latte,Food
Eating out,Food
Chai Latte,Food
Paella at Food Market,Food
Tesco,Groceries
Tube,Transportation
Bubble Tea,Food
Tube,Transportation
Eat Tokyo,Food
Ice Cream,Food
Papa Johns Pizza,Food
Tube,Transportation
Ikea Lunch,Food
Plants & Pots & other misc Ikea,Social
Milkshake Ikea,Food
Marugame Udon,Food
Wootea London,Food
Tube,Transportation
Eat Tokyo,Food
Tesco,Groceries
Tesco,Groceries
Poundland,Groceries
Tube,Transportation
Bus to Gatwick,Travel
Train to Stevenage,Transportation
Uber,Transportation
Bus,Transportation
Uber,Transportation
Bus,Transportation
Chinese Takeaway,Food
Bubble Tea,Food
Tube,Transportation
Deliveroo Lunch ,Food
Caffe Nero,Food
Car Rental,Travel
Nandos,Food
Tube,Transportation
Hotel Hissan,Travel
Spa w Nicole Morocco,Travel
YSL Museum w Nicole,Travel
Postcards w Nicole YSL,Travel
Nomad Morocco,Travel
Icloud Subscription,Subscriptions
Train to Rabat,Travel
Voxi,Subscriptions
Hotel Braya,Travel
Paul Airport,Travel
Ticket Change,Travel
Meal Deal Airport,Food
Train to Liverpool from Stansted,Travel
Oyster Card,Travel
Meds,Health
Morocco Cash Spending,Travel
Electric Car topup,Car
Electric Car topup,Car
Waitrose Handsoap,Toiletries
Parking,Car
Ticket Change,Transportation
Parking,Car
Somboon,Food
Waterfall,Travel
Parking,Car
Electric Car topup,Car
Electric Car topup,Car
Cambridge - Stevenage,Transportation
Exeter - Stevenage,Transportation
McDonalds,Food
Electric Car topup,Car
Wasabi Onigiri,Food
Bus,Transportation
Chinese Takeaway,Food
McDonalds,Food
Bus,Transportation
Train,Transportation
Train,Transportation
Tube Topup,Transportation
Tesco,Groceries
Coffee Ole & Steen,Food
Train,Transportation
Train,Transportation
Train,Transportation
Train,Transportation
"Humidifer, Kangkong seeds, growlights",
Train,Transportation
Bus,Transportation
Wasabi Onigiri,Food
Kin Khao Food,Food
Cash Withdrawal for storage,Health
Sainsbury,Groceries
Tesco,Groceries
Tesco,Groceries
Sainsbury,Groceries
Asian Mart,Groceries
Asian Mart,Groceries
Forum Chicken,Food
Chai Latte,Food
Savers ,Toiletries
Pint,Social
Pint,Social
tp ticket,Social
Mega Meetup,Social
Pret,Food
Asian Mart,Groceries
Tesco,Groceries
Taxi ,Transportation
uksss website domain,Social
Wasabi,Food
Tesco,Groceries
Bus,Transportation
Eat Tokyo,Food
Wootea,Food
Bus ticket,Transportation
Train,Transportation
Train,Transportation
Bus,Transportation
Wasabi,Food
Tesco,Groceries
Tesco,Groceries
Pint,Social
Pint,Social
M&S,Groceries
Tesco,Groceries
Pint,Social
Pint,Social
Tesco,Groceries
M&S,Groceries
Pint,Social
Pint,Social
Pint,Social
Pizza,Food
Tesco,Groceries
M&S,Groceries
Wilko,Health
Tesco,Groceries
Soil,Social
